combo_id,enrollment_1,enrollment_2,enrollment_3,run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,sft_minus_zero
2,010.wav,020.wav,040.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,3,20,0.6940527567824549,0.7037731204890255,0.00972036370657059
2,010.wav,020.wav,040.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,4,20,0.6940527567824549,0.6925504088396504,-0.0015023479428045716
2,010.wav,020.wav,040.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,5,20,0.6940527567824549,0.6834878733549253,-0.010564883427529592
2,010.wav,020.wav,040.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,6,20,0.6940527567824549,0.7017857248353452,0.0077329680528902545
2,010.wav,020.wav,040.wav,B_lr1e-6_cosine8_ref031_seed42,1e-6,7,20,0.6940527567824549,0.6884090078678743,-0.005643748914580637
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,0,20,0.6940527567824549,0.7023666085542315,0.00831385177177657
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,1,20,0.6940527567824549,0.7003852615237399,0.006332504741284994
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,2,20,0.6940527567824549,0.7001124234984412,0.006059666715986234
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,3,20,0.6940527567824549,0.7028512836994408,0.008798526916985905
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,4,20,0.6940527567824549,0.7054751634909381,0.011422406708483157
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,20,0.6940527567824549,0.6987105066995775,0.004657749917122533
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,6,20,0.6940527567824549,0.6973357232333487,0.003282966450893765
2,010.wav,020.wav,040.wav,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,7,20,0.6940527567824549,0.6956707041246867,0.0016179473422317514
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,0,20,0.7079053874630011,0.7189709912228697,0.011065603759868536
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,1,20,0.7079053874630011,0.7240578153803164,0.016152427917315304
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,2,20,0.7079053874630011,0.7256596424310193,0.01775425496801819
3,010.wav,020.wav,050.wav,A_lr5e-7_cosine8_ref031_seed42,5e-7,3,20,0.7079053874630011,0.7312347830048642,0.023329395541863085
