enrollment,zero_shot_mean
010.wav,0.6989195176763664
020.wav,0.6968231294093403
030.wav,0.7393455131169728
040.wav,0.6864156232616581
050.wav,0.7279735153032966
060.wav,0.6767201048858424
070.wav,0.6761978842079712
080.wav,0.6656847864412622
090.wav,0.6769282069560323
100.wav,0.6995333203433847
