run_name,learning_rate,epoch,sample_count,zero_shot_mean,sft_mean,delta,ties,sft_std,sft_min,sft_max
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,0,17,0.688410369,0.653208376,-0.076022223,0,0.027163596,0.606791698,0.706732841
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,1,17,0.688410369,0.66048552,-0.068745078,0,0.040055693,0.589692844,0.728045043
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,2,17,0.688410369,0.644367198,-0.0848634,0,0.024082758,0.577504812,0.678139119
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,3,17,0.688410369,0.645989919,-0.08324068,0,0.03574035,0.560378731,0.69873998
ep5_lr1e-6_per_epoch_audio_seed42,1.00E-06,4,17,0.688410369,0.656716533,-0.072514066,0,0.042794054,0.571205085,0.708566696
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,0,17,0.688410369,0.648002518,-0.081228081,0,0.041204579,0.568563891,0.726196995
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,1,17,0.688410369,0.650682371,-0.078548228,0,0.032443045,0.585711629,0.696547034
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,2,17,0.688410369,0.65660826,-0.072622338,0,0.044318434,0.56123155,0.716890273
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,3,17,0.688410369,0.653824335,-0.075406263,0,0.037659992,0.571393185,0.713232476
ep5_lr2e-6_per_epoch_audio_seed42,2.00E-06,4,17,0.688410369,0.658221503,-0.071009096,0,0.039705397,0.558908151,0.716525033
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,0,17,0.688410369,0.668963032,-0.060267566,0,0.033765589,0.58829196,0.712882195
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,1,17,0.688410369,0.643397863,-0.085832736,0,0.046017347,0.476037054,0.69070085
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,2,17,0.688410369,0.633551099,-0.095679499,0,0.050855288,0.520921593,0.690306267
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,3,17,0.688410369,0.638699233,-0.090531365,0,0.0771193,0.398846898,0.725809503
ep5_lr5e-6_per_epoch_audio_seed42,5.00E-06,4,17,0.688410369,0.633843708,-0.095386891,0,0.044180249,0.53241527,0.699873674
