run_name,learning_rate,epoch,sample_id,zero_shot_mean,sft_mean,delta
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_040,0.6933235002899584,0.6460167818470691,-0.04730671844288925
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_050,0.6598130956765641,0.6449008332763357,-0.01491226240022836
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_060,0.6573941687638952,0.6951905459190885,0.03779637715519324
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_070,0.6976964329827536,0.6678333755683327,-0.029863057414420968
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_080,0.6837906489423599,0.6364784431215559,-0.047312205820803976
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_090,0.7003272048186342,0.6086685456375772,-0.09165865918105698
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_100,0.6761443367735208,0.6626327374342719,-0.013511599339248948
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_110,0.7258129639596212,0.6540227478314189,-0.07179021612820236
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_120,0.6809322480958923,0.6285615472904609,-0.05237070080543138
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_130,0.693247402280671,0.6806056655682308,-0.012641736712440288
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_140,0.6573692822069025,0.6067916982245336,-0.05057758398236889
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_150,0.6302180485326304,0.6397428248173925,0.009524776284762115
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_160,0.7048505802769668,0.6658146047184288,-0.039035975558537994
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_170,0.7209538912486279,0.6685088575556867,-0.05244503369294118
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_180,0.7430833439611703,0.7067328406749039,-0.03635050328626632
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_190,0.7199717999186729,0.6688039543462615,-0.051167845572411386
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,0,test_200,0.6580473275671274,0.6232363806080663,-0.03481094695906106
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_040,0.6933235002899584,0.6673546646170435,-0.02596883567291486
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_050,0.6598130956765641,0.5896928440190886,-0.07012025165747549
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_060,0.6573941687638952,0.6934347091533518,0.03604054038945659
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_070,0.6976964329827536,0.6179164867621211,-0.07977994622063256
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_080,0.6837906489423599,0.691398220701852,0.0076075717594921155
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_090,0.7003272048186342,0.6720764794118074,-0.028250725406826827
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_100,0.6761443367735208,0.6650390611268365,-0.011105275646684287
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_110,0.7258129639596212,0.6100466950076636,-0.11576626895195763
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_120,0.6809322480958923,0.6444015768500725,-0.03653067124581977
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_130,0.693247402280671,0.7280450431503328,0.03479764086966175
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_140,0.6573692822069025,0.6140260235031257,-0.043343258703776755
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_150,0.6302180485326304,0.6290352621384864,-0.001182786394144042
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_160,0.7048505802769668,0.6577018960189478,-0.04714868425801899
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_170,0.7209538912486279,0.7250780476963489,0.004124156447721017
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_180,0.7430833439611703,0.7150368846702159,-0.028046459290954395
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_190,0.7199717999186729,0.6690446202234673,-0.05092717969520555
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,1,test_200,0.6580473275671274,0.6389253248294454,-0.019122002737681942
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_040,0.6933235002899584,0.6266379978343907,-0.0666855024555677
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_050,0.6598130956765641,0.6287243141339044,-0.031088781542659705
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_060,0.6573941687638952,0.6400085296540868,-0.017385639109808393
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_070,0.6976964329827536,0.6268080407151504,-0.07088839226760324
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_080,0.6837906489423599,0.6743045724881646,-0.009486076454195302
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_090,0.7003272048186342,0.6758701790593272,-0.024457025759306972
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_100,0.6761443367735208,0.6566765523847112,-0.019467784388809584
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_110,0.7258129639596212,0.6364918834172127,-0.0893210805424085
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_120,0.6809322480958923,0.6502232854215042,-0.03070896267438805
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_130,0.693247402280671,0.6611014648372477,-0.03214593744342331
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_140,0.6573692822069025,0.631931194138677,-0.02543808806822545
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_150,0.6302180485326304,0.5775048119225593,-0.0527132366100711
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_160,0.7048505802769668,0.6537639970069318,-0.05108658327003501
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_170,0.7209538912486279,0.6781391187624425,-0.04281477248618537
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_180,0.7430833439611703,0.660328900397544,-0.08275444356362627
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_190,0.7199717999186729,0.6243858931289675,-0.09558590678970535
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,2,test_200,0.6580473275671274,0.6513416338811838,-0.006705693685943537
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_040,0.6933235002899584,0.6846833710787698,-0.008640129211188619
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_050,0.6598130956765641,0.6237714866544871,-0.03604160902207698
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_060,0.6573941687638952,0.6203189850487281,-0.03707518371516716
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_070,0.6976964329827536,0.560378730820045,-0.13731770216270867
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_080,0.6837906489423599,0.6460645894971432,-0.037726059445216675
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_090,0.7003272048186342,0.6987399802316353,-0.0015872245869988921
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_100,0.6761443367735208,0.6601388197114876,-0.016005517062033237
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_110,0.7258129639596212,0.6401749031244196,-0.08563806083520165
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_120,0.6809322480958923,0.6783692245143494,-0.0025630235815428115
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_130,0.693247402280671,0.6564130251109775,-0.03683437716969351
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_140,0.6573692822069025,0.6109785884008003,-0.04639069380610217
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_150,0.6302180485326304,0.5920233544617571,-0.03819469407087328
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_160,0.7048505802769668,0.6899661337182342,-0.014884446558732556
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_170,0.7209538912486279,0.6516193499443615,-0.0693345413042663
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_180,0.7430833439611703,0.6527443485155376,-0.09033899544563262
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_190,0.7199717999186729,0.6338692017538906,-0.08610259816478227
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,3,test_200,0.6580473275671274,0.6815745252320874,0.02352719766496003
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_040,0.6933235002899584,0.6833825061596691,-0.00994099413028926
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_050,0.6598130956765641,0.6425396704788974,-0.017273425197666725
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_060,0.6573941687638952,0.6766210841905446,0.019226915426649338
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_070,0.6976964329827536,0.5712050846029814,-0.12649134837977227
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_080,0.6837906489423599,0.5836908116973293,-0.10009983724503058
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_090,0.7003272048186342,0.6568818519164865,-0.04344535290214768
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_100,0.6761443367735208,0.6371230028015674,-0.0390213339719534
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_110,0.7258129639596212,0.7085666957808113,-0.01724626817880992
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_120,0.6809322480958923,0.6724871838813696,-0.008445064214522624
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_130,0.693247402280671,0.6995001449749206,0.00625274269424958
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_140,0.6573692822069025,0.6275063907205626,-0.029862891486339915
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_150,0.6302180485326304,0.5769099432285388,-0.05330810530409158
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_160,0.7048505802769668,0.6947135660215978,-0.010137014255368948
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_170,0.7209538912486279,0.6889515434510581,-0.03200234779756972
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_180,0.7430833439611703,0.691593693718285,-0.05148965024288521
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_190,0.7199717999186729,0.6893470757899115,-0.030624724128761383
ep5_lr1e-6_per_epoch_audio_seed42,1e-6,4,test_200,0.6580473275671274,0.6631608061511304,0.005113478584003017
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_040,0.6933235002899584,0.6748155146082119,-0.018507985681746497
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_050,0.6598130956765641,0.58444740079837,-0.07536569487819411
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_060,0.6573941687638952,0.7261969945408957,0.06880282577700048
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_070,0.6976964329827536,0.5685638907795733,-0.12913254220318038
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_080,0.6837906489423599,0.6556672231078505,-0.02812342583450933
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_090,0.7003272048186342,0.6504848153383626,-0.04984238948027164
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_100,0.6761443367735208,0.685353330535675,0.009208993762154227
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_110,0.7258129639596212,0.637410155053407,-0.08840280890621421
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_120,0.6809322480958923,0.6429739503874149,-0.03795829770847736
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_130,0.693247402280671,0.6489755326446369,-0.044271869636034133
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_140,0.6573692822069025,0.6362329727888292,-0.021136309418073318
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_150,0.6302180485326304,0.5691914068918323,-0.061026641640798074
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_160,0.7048505802769668,0.6372555448790594,-0.06759503539790734
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_170,0.7209538912486279,0.6891781256186277,-0.031775765630000175
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_180,0.7430833439611703,0.6731565920029805,-0.06992675195818976
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_190,0.7199717999186729,0.683604454209909,-0.036367345708763876
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,0,test_200,0.6580473275671274,0.6525348955007185,-0.005512432066408834
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_040,0.6933235002899584,0.6503971872866422,-0.042926313003316174
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_050,0.6598130956765641,0.6076021635052381,-0.052210932171326
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_060,0.6573941687638952,0.678585419630381,0.021191250866485767
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_070,0.6976964329827536,0.6660810612859048,-0.031615371696848804
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_080,0.6837906489423599,0.6201560365830635,-0.06363461235929635
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_090,0.7003272048186342,0.5857116285085932,-0.11461557631004105
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_100,0.6761443367735208,0.6582641475727216,-0.017880189200799257
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_110,0.7258129639596212,0.6892930072923523,-0.03651995666726893
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_120,0.6809322480958923,0.6534263380024857,-0.027505910093406527
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_130,0.693247402280671,0.6936914857606572,0.00044408347998614595
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_140,0.6573692822069025,0.6439575289723812,-0.013411753234521262
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_150,0.6302180485326304,0.6076695312149228,-0.022548517317707573
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_160,0.7048505802769668,0.6417717468613161,-0.06307883341565068
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_170,0.7209538912486279,0.6864505674676487,-0.0345033237809792
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_180,0.7430833439611703,0.6624197639051488,-0.08066358005602148
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_190,0.7199717999186729,0.6965470338364907,-0.023424766082182136
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,1,test_200,0.6580473275671274,0.619575658124293,-0.03847166944283431
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_040,0.6933235002899584,0.654011648907496,-0.039311851382462404
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_050,0.6598130956765641,0.586284747366152,-0.0735283483104121
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_060,0.6573941687638952,0.6897100944279365,0.03231592566404129
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_070,0.6976964329827536,0.6174219965765865,-0.08027443640616716
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_080,0.6837906489423599,0.6403619129571704,-0.04342873598518948
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_090,0.7003272048186342,0.6401039924251354,-0.060223212393498815
ep5_lr2e-6_per_epoch_audio_seed42,2e-6,2,test_100,0.6761443367735208,0.7065677199491359,0.030423383175615104
