"run_name","learning_rate","epoch","original_n","original_zero_shot_mean","original_sft_mean","original_delta","removed_sample_1","removed_sft_1","removed_zero_1","removed_sample_2","removed_sft_2","removed_zero_2","trimmed_n","trimmed_zero_shot_mean","trimmed_sft_mean","trimmed_delta","delta_change"
"ep5_lr1e-6_ref031_seed42","1e-6","0","17","0.729230598482636","0.691853553823768","-0.0373770446588689","test_200","0.58172954430564","0.699568117136474","test_140","0.613361406679888","0.758570031779288","15","0.72925213501927","0.704427964267902","-0.0248241707513689","0.0125528739075"
"ep5_lr1e-6_ref031_seed42","1e-6","1","17","0.729230598482636","0.703394722464498","-0.0258358760181384","test_150","0.607721371367947","0.47377519051947","test_070","0.627122042720107","0.702028423339441","15","0.748074437356394","0.714857791187227","-0.0332166461691663","-0.00738077015102789"
"ep5_lr1e-6_ref031_seed42","1e-6","2","17","0.729230598482636","0.701215316960058","-0.0280152815225787","test_050","0.556928913702444","0.735596533715357","test_150","0.65934364047753","0.47377519051947","15","0.745836563331333","0.713625855609401","-0.0322107077219321","-0.00419542619935342"
"ep5_lr1e-6_ref031_seed42","1e-6","3","17","0.729230598482636","0.693757279428502","-0.0354733190541345","test_050","0.584098421002966","0.735596533715357","test_070","0.590429917135089","0.702028423339441","15","0.730619681143335","0.707956360809765","-0.0226633203335692","0.0128099987205653"
"ep5_lr1e-6_ref031_seed42","1e-6","4","17","0.729230598482636","0.694126991229297","-0.0351036072533396","test_060","0.617121694314935","0.748460786126348","test_070","0.624132508050455","0.702028423339441","15","0.729762064315935","0.703926976568844","-0.0258350877470914","0.00926851950624819"
"ep5_lr2e-6_ref031_seed42","2e-6","0","17","0.729230598482636","0.701291749272464","-0.0279388492101729","test_050","0.602913716226149","0.735596533715357","test_150","0.638073558794258","0.47377519051947","15","0.745836563331333","0.712064830840765","-0.0337717324905679","-0.005832883280395"
"ep5_lr2e-6_ref031_seed42","2e-6","1","17","0.729230598482636","0.688385130038106","-0.0408454684445302","test_050","0.542988760379778","0.735596533715357","test_070","0.615161403614252","0.702028423339441","15","0.730619681143335","0.702959803110252","-0.0276598780330828","0.0131855904114474"
"ep5_lr2e-6_ref031_seed42","2e-6","2","17","0.729230598482636","0.702779312747881","-0.0264512857347555","test_110","0.649650646678381","0.72979818833896","test_060","0.649671063664768","0.748460786126348","15","0.727910746649301","0.709861773758055","-0.0180489728912459","0.00840231284350967"
"ep5_lr2e-6_ref031_seed42","2e-6","3","17","0.729230598482636","0.700039081664595","-0.0291915168180419","test_050","0.573475667556678","0.735596533715357","test_070","0.612985614974056","0.702028423339441","15","0.730619681143335","0.714280207051158","-0.0163394740921764","0.0128520427258655"
"ep5_lr2e-6_ref031_seed42","2e-6","4","17","0.729230598482636","0.699918411499241","-0.0293121869833953","test_050","0.572955213170342","0.735596533715357","test_070","0.625305421501565","0.702028423339441","15","0.730619681143335","0.713356824054346","-0.0172628570889886","0.0120493298944068"
"ep5_lr5e-6_ref031_seed42","5e-6","0","17","0.729230598482636","0.70389938782574","-0.0253312106568969","test_150","0.671152976482724","0.47377519051947","test_200","0.674681867157736","0.699568117136474","15","0.748238457769925","0.708030316626474","-0.0402081411434508","-0.0148769304865539"
"ep5_lr5e-6_ref031_seed42","5e-6","1","17","0.729230598482636","0.691506474552986","-0.0377241239296506","test_040","0.592374326416581","0.758703678204211","test_150","0.607971371141283","0.47377519051947","15","0.744296087032076","0.70368429132286","-0.0406117957092161","-0.0028876717795655"
"ep5_lr5e-6_ref031_seed42","5e-6","2","17","0.729230598482636","0.705871764723575","-0.023358833759061","test_150","0.603096431533801","0.47377519051947","test_130","0.633310007208062","0.763589453184335","15","0.743970368700067","0.717560904103928","-0.0264094645961395","-0.00305063083707846"
"ep5_lr5e-6_ref031_seed42","5e-6","3","17","0.729230598482636","0.692580578573872","-0.0366500199087643","test_050","0.588681199078806","0.735596533715357","test_150","0.599238975296178","0.47377519051947","15","0.745836563331333","0.70572997742539","-0.040106585905943","-0.0034565659971787"
"ep5_lr5e-6_ref031_seed42","5e-6","4","17","0.729230598482636","0.704528628049798","-0.0247019704328389","test_140","0.679087773355236","0.758570031779288","test_080","0.679565699883609","0.710240203762068","15","0.728540662577564","0.707888880240514","-0.0206517823370498","0.00405018809578916"
