system,run_name,learning_rate,epoch,sample_id,generated_audio,enrollment_audio,sim
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_190,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7518293964079361
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_190,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.737984150310258
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_190,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7777107780689786
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_200,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7627780645670179
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_200,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6822522640796596
sft,ep5_lr5e-6_ref031_seed42,5e-6,2,test_200,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch2\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7224067296921597
sft,ep5_lr5e-6_ref031_seed42,5e-6,3,test_040,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch3\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6855193721079943
sft,ep5_lr5e-6_ref031_seed42,5e-6,3,test_040,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch3\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6572571792584933
sft,ep5_lr5e-6_ref031_seed42,5e-6,3,test_040,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch3\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6823877399707658
sft,ep5_lr5e-6_ref031_seed42,5e-6,3,test_050,C:\Users\26686\Desktop\qwen3tts_ref031_3lr_5ep_seed42\ref031_3lr_5ep_seed42\hparam_runs\ep5_lr5e-6_ref031_seed42\results\test20\epoch3\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6244832240216684
