system,run_name,learning_rate,epoch,sample_id,generated_audio,enrollment_audio,sim
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_040,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7445818111872232
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_040,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6650327825067935
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_040,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_040.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7416888706353135
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_050,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6140558999341199
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_050,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.5991685292694183
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_050,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.5308268576153083
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_060,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6752387844587685
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_060,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.598147393637448
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_060,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6777938938968108
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_070,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6473889669756698
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_070,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6354053909484461
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_070,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6843840959711381
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_080,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7712847597824724
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_080,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7257729856371486
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_080,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.742169867527992
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_090,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7326942056922549
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_090,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6555789411935657
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_090,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6980780614108433
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_100,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7904022090339907
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_100,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7442267043773837
sft,C_lr1.5e-6_cosine8_ref031_seed42,1.5e-6,5,test_100,C:\Users\26686\Desktop\ref031_cosine_8ep_seed42_20260730\ref031_cosine_8ep_seed42_20260730\hparam_runs\C_lr1.5e-6_cosine8_ref031_seed42\results\test20\epoch5\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7704706312108982
